NO2(t-1),NO2(t)
2.573061124941894e-05,2.4882955420823646e-05
2.4882955420823646e-05,2.9178953897621063e-05
2.9178953897621063e-05,3.1243980567171384e-05
3.1243980567171384e-05,3.2918468921799345e-05
3.2918468921799345e-05,2.271805936158801e-05
2.271805936158801e-05,3.2175674358600905e-05
3.2175674358600905e-05,2.391722619595728e-05
2.391722619595728e-05,2.9009962051948268e-05
2.9009962051948268e-05,3.4243051693047016e-05
3.4243051693047016e-05,2.5650839165102685e-05
2.5650839165102685e-05,3.385538926799516e-05
3.385538926799516e-05,3.64376108639893e-05
3.64376108639893e-05,2.431012417150863e-05
2.431012417150863e-05,3.2330383858521585e-05
3.2330383858521585e-05,3.293043979152893e-05
3.293043979152893e-05,3.541999823128204e-05
3.541999823128204e-05,3.790955667103514e-05
3.790955667103514e-05,3.1381596949303814e-05
3.1381596949303814e-05,3.2521502785489684e-05
3.2521502785489684e-05,2.8400517769120638e-05
2.8400517769120638e-05,3.691264934483721e-05
3.691264934483721e-05,2.3092227523620192e-05
2.3092227523620192e-05,2.629703412509901e-05
2.629703412509901e-05,2.853922773133259e-05
2.853922773133259e-05,3.911862888737626e-05
3.911862888737626e-05,2.8752445725489373e-05
2.8752445725489373e-05,4.4266230443926446e-05
4.4266230443926446e-05,2.594071506276998e-05
2.594071506276998e-05,2.8465737133802565e-05
2.8465737133802565e-05,2.4337528875475397e-05
2.4337528875475397e-05,4.0522248852631904e-05
4.0522248852631904e-05,3.2844053831385366e-05
3.2844053831385366e-05,3.432840841035365e-05
3.432840841035365e-05,2.6589003897033066e-05
2.6589003897033066e-05,3.5187284562485534e-05
3.5187284562485534e-05,2.6766512415964492e-05
2.6766512415964492e-05,3.6394993280520704e-05
3.6394993280520704e-05,3.1952563287016825e-05
3.1952563287016825e-05,2.108890700211222e-05
2.108890700211222e-05,3.5712552309745566e-05
3.5712552309745566e-05,3.4623702958924696e-05
3.4623702958924696e-05,3.2215379784853816e-05
3.2215379784853816e-05,2.4591127813496144e-05
2.4591127813496144e-05,3.519991647379122e-05
3.519991647379122e-05,2.9500611637911843e-05
2.9500611637911843e-05,3.110717616901592e-05
3.110717616901592e-05,3.0032655558898117e-05
3.0032655558898117e-05,2.5397952481398533e-05
2.5397952481398533e-05,2.9611518885020524e-05
2.9611518885020524e-05,2.82176891152078e-05
2.82176891152078e-05,3.1316268984294267e-05
3.1316268984294267e-05,3.719450322536378e-05
3.719450322536378e-05,4.3072737466433295e-05
4.3072737466433295e-05,2.5441045545449013e-05
2.5441045545449013e-05,3.160608198658757e-05
3.160608198658757e-05,3.31000255820462e-05
3.31000255820462e-05,3.259148765303111e-05
3.259148765303111e-05,3.4408609519687164e-05
3.4408609519687164e-05,3.493215643204882e-05
3.493215643204882e-05,3.4206963408593507e-05
3.4206963408593507e-05,2.5543210023486266e-05
2.5543210023486266e-05,3.441778083819027e-05
3.441778083819027e-05,2.006067885910549e-05
2.006067885910549e-05,2.166957872626773e-05
2.166957872626773e-05,2.327847859342997e-05
2.327847859342997e-05,2.637798579479223e-05
2.637798579479223e-05,2.9847044970665596e-05
2.9847044970665596e-05,2.6092550062737875e-05
2.6092550062737875e-05,2.7673011878074537e-05
2.7673011878074537e-05,2.769577464597525e-05
2.769577464597525e-05,2.6721933144859035e-05
2.6721933144859035e-05,2.839924700310803e-05
2.839924700310803e-05,3.065517874650444e-05
3.065517874650444e-05,3.291111048990084e-05
3.291111048990084e-05,3.5654831577858204e-05
3.5654831577858204e-05,2.0413453704631613e-05
2.0413453704631613e-05,2.533975427573191e-05
2.533975427573191e-05,4.59972327328561e-05
4.59972327328561e-05,2.0208984129307544e-05
2.0208984129307544e-05,2.7442200567188243e-05
2.7442200567188243e-05,2.7738466411330776e-05
2.7738466411330776e-05,2.299417893136223e-05
2.299417893136223e-05,2.5136351218356544e-05
2.5136351218356544e-05,2.2837084145521654e-05
2.2837084145521654e-05,2.3974093424198253e-05
2.3974093424198253e-05,1.7373537393309974e-05
1.7373537393309974e-05,1.921652314326581e-05
1.921652314326581e-05,2.2619071468412915e-05
2.2619071468412915e-05,2.6021619793560025e-05
2.6021619793560025e-05,2.6096172876616656e-05
2.6096172876616656e-05,2.617072595967329e-05
2.617072595967329e-05,2.757108836703992e-05
2.757108836703992e-05,2.897145077440655e-05
2.897145077440655e-05,2.782725359292764e-05
2.782725359292764e-05,2.668305641144873e-05
2.668305641144873e-05,2.371131686881459e-05
2.371131686881459e-05,1.594768467666221e-05
1.594768467666221e-05,1.8727181965358694e-05
1.8727181965358694e-05,1.589016793622654e-05
1.589016793622654e-05,1.3053153907094384e-05
1.3053153907094384e-05,1.986624983836068e-05
1.986624983836068e-05,2.3421052600022687e-05
2.3421052600022687e-05,1.8400973881849035e-05
1.8400973881849035e-05,2.6311625672983e-05
2.6311625672983e-05,4.016772763861809e-05
4.016772763861809e-05,2.455816136436904e-05
2.455816136436904e-05,2.8984524357209887e-05
2.8984524357209887e-05,1.9461994785530123e-05
1.9461994785530123e-05,1.8192697112410625e-05
1.8192697112410625e-05,1.6923399439291126e-05
1.6923399439291126e-05,1.565410176617163e-05
1.565410176617163e-05,1.4384804093052132e-05
1.4384804093052132e-05,2.4050983114420887e-05
2.4050983114420887e-05,2.3984611107152887e-05
2.3984611107152887e-05,2.4057100199570412e-05
2.4057100199570412e-05,2.412958929198794e-05
2.412958929198794e-05,3.218143996895783e-05
3.218143996895783e-05,1.553738435464574e-05
1.553738435464574e-05,1.5540251270349827e-05
1.5540251270349827e-05,1.5543118186053914e-05
1.5543118186053914e-05,1.5545985101758e-05
1.5545985101758e-05,1.0909386795641642e-05
1.0909386795641642e-05,6.272788489525283e-06
6.272788489525283e-06,3.074996766372351e-05
3.074996766372351e-05,3.037827243840891e-05
3.037827243840891e-05,3.000657721309431e-05
3.000657721309431e-05,2.963488198777971e-05
2.963488198777971e-05,2.272574639185959e-05
2.272574639185959e-05,1.841833730509279e-05
1.841833730509279e-05,1.724871807489966e-05
1.724871807489966e-05,1.6079098844706525e-05
1.6079098844706525e-05,1.4909479614513394e-05
1.4909479614513394e-05,1.373986038432026e-05
1.373986038432026e-05,2.012565277161283e-05
2.012565277161283e-05,1.862659749317339e-05
1.862659749317339e-05,1.9017246229071005e-05
1.9017246229071005e-05,2.22769146973776e-05
2.22769146973776e-05,2.3909441888800187e-05
2.3909441888800187e-05,2.554196908022277e-05
2.554196908022277e-05,2.444400237260941e-05
2.444400237260941e-05,2.202841169491876e-05
2.202841169491876e-05,3.141894085572739e-05
3.141894085572739e-05,1.6757986389991458e-05
1.6757986389991458e-05,1.7991545096124475e-05
1.7991545096124475e-05,1.8152238704014374e-05
1.8152238704014374e-05,2.133821668167002e-05
2.133821668167002e-05,2.9175511512081492e-05
2.9175511512081492e-05,2.4663903403913872e-05
2.4663903403913872e-05,2.69633159512202e-05
2.69633159512202e-05,1.6197955346797244e-05
1.6197955346797244e-05,1.0027519750479584e-05
1.0027519750479584e-05,1.5255770770582943e-05
1.5255770770582943e-05,1.8971100364156505e-05
1.8971100364156505e-05,2.268642995773007e-05
2.268642995773007e-05,1.7926244989824655e-05
1.7926244989824655e-05,1.7100471629628667e-05
1.7100471629628667e-05,1.6274698269432676e-05
1.6274698269432676e-05,1.5448924909236688e-05
1.5448924909236688e-05,1.4623151549040699e-05
1.4623151549040699e-05,1.3797378188844709e-05
1.3797378188844709e-05,1.2971604828648721e-05
1.2971604828648721e-05,1.2145831468452732e-05
1.2145831468452732e-05,1.2439963274906467e-05
1.2439963274906467e-05,1.2734095081360205e-05
1.2734095081360205e-05,1.3028226887813941e-05
1.3028226887813941e-05,1.3322358694267677e-05
1.3322358694267677e-05,2.6645097807431736e-05
2.6645097807431736e-05,3.99678369205958e-05
3.99678369205958e-05,2.180449444930001e-05
2.180449444930001e-05,1.1196125100809697e-05
1.1196125100809697e-05,1.2713750910127905e-05
1.2713750910127905e-05,1.7618555924353382e-05
1.7618555924353382e-05,2.2312689391067066e-05
2.2312689391067066e-05,1.915476035005018e-05
1.915476035005018e-05,1.103580161523123e-05
1.103580161523123e-05,1.4460440528134032e-05
1.4460440528134032e-05,1.709639087136218e-05
1.709639087136218e-05,2.336327996438152e-05
2.336327996438152e-05,2.010215644077107e-05
2.010215644077107e-05,2.5208545468621165e-05
2.5208545468621165e-05,2.781974035315216e-05
2.781974035315216e-05,1.7607214457572038e-05
1.7607214457572038e-05,2.1241942123298133e-05
2.1241942123298133e-05,2.383900475790681e-05
2.383900475790681e-05,2.0674402718120687e-05
2.0674402718120687e-05,1.378420454200453e-05
1.378420454200453e-05,1.729960621169215e-05
1.729960621169215e-05,2.6398356498728663e-05
2.6398356498728663e-05,2.4515254644595772e-05
2.4515254644595772e-05,2.2632152790462878e-05
2.2632152790462878e-05,2.0749050936329987e-05
2.0749050936329987e-05,1.8865949082197093e-05
1.8865949082197093e-05,1.6982847228064202e-05
1.6982847228064202e-05,1.6127995181972545e-05
1.6127995181972545e-05,1.527314313588089e-05
1.527314313588089e-05,2.5464208712427145e-05
2.5464208712427145e-05,2.923457850556588e-05
2.923457850556588e-05,2.8804931025661064e-05
2.8804931025661064e-05,2.5103429447881356e-05
2.5103429447881356e-05,2.1401927870101645e-05
2.1401927870101645e-05,1.7700426292321938e-05
1.7700426292321938e-05,1.3998924714542229e-05
1.3998924714542229e-05,2.0524002366073546e-05
2.0524002366073546e-05,2.7049080017604865e-05
2.7049080017604865e-05,1.87422338816153e-05
1.87422338816153e-05,1.0435387745625729e-05
1.0435387745625729e-05,3.15165749558027e-05
3.15165749558027e-05,1.5129367312738395e-05
1.5129367312738395e-05,2.6128159983532635e-05
2.6128159983532635e-05,2.2129304753995766e-05
2.2129304753995766e-05,1.81304495244589e-05
1.81304495244589e-05,1.4131594294922033e-05
1.4131594294922033e-05,1.0132739065385167e-05
1.0132739065385167e-05,1.5113288037694064e-05
1.5113288037694064e-05,2.9256683570852865e-05
2.9256683570852865e-05,2.5567150000175127e-05
2.5567150000175127e-05,2.9200876399824797e-05
2.9200876399824797e-05,1.4137340315301117e-05
1.4137340315301117e-05,3.2109048637115244e-05
3.2109048637115244e-05,1.9993911791971183e-05
1.9993911791971183e-05,1.9707203739302196e-05
1.9707203739302196e-05,1.9420495686633206e-05
1.9420495686633206e-05,1.9133787633964216e-05
1.9133787633964216e-05,1.884707958129523e-05
1.884707958129523e-05,1.607279245780781e-05
1.607279245780781e-05,1.3298505334320394e-05
1.3298505334320394e-05,1.4212249551194742e-05
1.4212249551194742e-05,2.129190913881364e-05
2.129190913881364e-05,1.5800224840188742e-05
1.5800224840188742e-05,1.987376642736323e-05
1.987376642736323e-05,3.553356536656338e-05
3.553356536656338e-05,2.6999534245829715e-05
2.6999534245829715e-05,2.0775741449867157e-05
2.0775741449867157e-05,2.0981540038243624e-05
2.0981540038243624e-05,1.6464067805372906e-05
1.6464067805372906e-05,1.8889423849194923e-05
1.8889423849194923e-05,4.154536418354837e-05
4.154536418354837e-05,2.389045286253338e-05
2.389045286253338e-05,2.6363315213415148e-05
2.6363315213415148e-05,3.0220657093779032e-05
3.0220657093779032e-05,2.8305329413507767e-05
2.8305329413507767e-05,2.8356617284381563e-05
2.8356617284381563e-05,1.9822346075670797e-05
1.9822346075670797e-05,2.1133657716455852e-05
2.1133657716455852e-05,2.694649152888772e-05
2.694649152888772e-05,3.0081190790701057e-05
3.0081190790701057e-05,2.8012840630253777e-05
2.8012840630253777e-05,3.0129545848467387e-05
3.0129545848467387e-05,2.347414062699369e-05
2.347414062699369e-05,2.087507118631038e-05
2.087507118631038e-05,1.8889174809131758e-05
1.8889174809131758e-05,1.6903278431953133e-05
1.6903278431953133e-05,4.077603495846104e-05
4.077603495846104e-05,2.436533395666629e-05
2.436533395666629e-05,1.9182206718445134e-05
1.9182206718445134e-05,1.9439678484197564e-05
1.9439678484197564e-05,1.969715024995e-05
1.969715024995e-05,3.2887573048001065e-05
3.2887573048001065e-05,2.7188699732505484e-05
2.7188699732505484e-05,2.5756613417292505e-05
2.5756613417292505e-05,1.1695270586642437e-05
1.1695270586642437e-05,1.763645372800813e-05
1.763645372800813e-05,1.727645113743477e-05
1.727645113743477e-05,1.2099400009901728e-05
1.2099400009901728e-05,1.171653729428263e-05
1.171653729428263e-05,2.187433515880107e-05
2.187433515880107e-05,2.05921600206534e-05
2.05921600206534e-05,1.930998488250573e-05
1.930998488250573e-05,2.3038963258795318e-05
2.3038963258795318e-05,2.877862741949381e-05
2.877862741949381e-05,3.699528186938123e-05
3.699528186938123e-05,2.166030266784623e-05
2.166030266784623e-05,1.9442540903469308e-05
1.9442540903469308e-05,1.9038574350815907e-05
1.9038574350815907e-05,2.4383365169616703e-05
2.4383365169616703e-05,2.20654866624452e-05
2.20654866624452e-05,2.4833393216982905e-05
2.4833393216982905e-05,2.3943225043790573e-05
2.3943225043790573e-05,2.74658245871251e-05
2.74658245871251e-05,2.415072376606986e-05
2.415072376606986e-05,3.035619650404442e-05
3.035619650404442e-05,2.6946997937591493e-05
2.6946997937591493e-05,2.4520929097586e-05
2.4520929097586e-05,1.846287718173564e-05
1.846287718173564e-05,2.220203696459486e-05
2.220203696459486e-05,2.8856763644095437e-05
2.8856763644095437e-05,3.2427825489493615e-05
3.2427825489493615e-05,2.8678321359620896e-05
2.8678321359620896e-05,3.155393269001874e-05
3.155393269001874e-05,2.0148108652999024e-05
2.0148108652999024e-05,2.9444914343912387e-05
2.9444914343912387e-05,2.5197728682075813e-05
2.5197728682075813e-05,2.918125392170623e-05
2.918125392170623e-05,2.1664755574117105e-05
2.1664755574117105e-05,2.3254979431350457e-05
2.3254979431350457e-05,2.484520328858381e-05
2.484520328858381e-05,1.2981185702359433e-05
1.2981185702359433e-05,1.6128734015871988e-05
1.6128734015871988e-05,2.516671050106004e-05
2.516671050106004e-05,2.589607033769425e-05
2.589607033769425e-05,2.278609063939066e-05
2.278609063939066e-05,2.407495936533148e-05
2.407495936533148e-05,2.5181896639948112e-05
2.5181896639948112e-05,2.814101277955935e-05
2.814101277955935e-05,2.7349786488111537e-05
2.7349786488111537e-05,2.773564998885073e-05
2.773564998885073e-05,2.917881088189012e-05
2.917881088189012e-05,3.024461934111234e-05
3.024461934111234e-05,2.213918098088624e-05
2.213918098088624e-05,3.097558560175121e-05
3.097558560175121e-05,3.117738565379113e-05
3.117738565379113e-05,3.235140925498276e-05
3.235140925498276e-05,3.002692434819744e-05
3.002692434819744e-05,2.869782130395205e-05
2.869782130395205e-05,3.268850777708208e-05
3.268850777708208e-05,3.2537054353030584e-05
3.2537054353030584e-05,3.969470705178698e-05
3.969470705178698e-05,2.374262797123023e-05
2.374262797123023e-05,2.677597378108616e-05
2.677597378108616e-05,3.2012449154487845e-05
3.2012449154487845e-05,2.377894948598655e-05
2.377894948598655e-05,4.521275259321556e-05
4.521275259321556e-05,3.5546664940041005e-05
3.5546664940041005e-05,2.6251462395839235e-05
2.6251462395839235e-05,2.9076819954347425e-05
2.9076819954347425e-05,1.2790188129151324e-05
1.2790188129151324e-05,3.447738177783321e-05
3.447738177783321e-05,2.8628716066236848e-05
2.8628716066236848e-05,2.5005667942135757e-05
2.5005667942135757e-05,3.681420721969098e-05
3.681420721969098e-05,2.949215150570476e-05
2.949215150570476e-05,3.955162216016106e-05
3.955162216016106e-05,3.509981284282574e-05
3.509981284282574e-05,3.758691501097575e-05
3.758691501097575e-05,3.232997802787513e-05
3.232997802787513e-05,2.642532785418012e-05
2.642532785418012e-05,3.3371595229425566e-05
3.3371595229425566e-05,3.358268161239828e-05
3.358268161239828e-05,4.025947134470846e-05
4.025947134470846e-05,3.1105731994731825e-05
3.1105731994731825e-05,3.126512168444412e-05
3.126512168444412e-05,2.463093962117357e-05
2.463093962117357e-05,2.0433317880700304e-05
2.0433317880700304e-05,2.4082543889271383e-05
2.4082543889271383e-05,2.2337490294421134e-05
2.2337490294421134e-05,2.898932763647129e-05
2.898932763647129e-05,2.9074787958746936e-05
2.9074787958746936e-05,2.0004611268857956e-05
2.0004611268857956e-05,2.548551432365428e-05
2.548551432365428e-05,2.630894195963183e-05
2.630894195963183e-05,3.142737807115545e-05
3.142737807115545e-05,2.9616176627846977e-05
2.9616176627846977e-05,2.7804975184538498e-05
2.7804975184538498e-05,2.5993773741230022e-05
2.5993773741230022e-05,3.183311529700523e-05
3.183311529700523e-05,3.4339490318812656e-05
3.4339490318812656e-05,3.591668564568964e-05
3.591668564568964e-05,1.6099144576510204e-05
1.6099144576510204e-05,1.1913433797060082e-05
1.1913433797060082e-05,3.6623175899351445e-05
3.6623175899351445e-05,2.5241762618132053e-05
2.5241762618132053e-05,3.155429304622605e-05
3.155429304622605e-05,3.8703847857344525e-05
3.8703847857344525e-05,2.55483507708555e-05
2.55483507708555e-05,2.956354321893061e-05
2.956354321893061e-05,2.6542184804788525e-05
2.6542184804788525e-05,4.040964279557743e-05
4.040964279557743e-05,3.464832627106482e-05
3.464832627106482e-05,3.0282270387260724e-05
3.0282270387260724e-05,3.010422012721392e-05
3.010422012721392e-05,2.289581645634675e-05
2.289581645634675e-05,3.3980604739905847e-05
3.3980604739905847e-05,3.1728576181750015e-05
3.1728576181750015e-05,2.6036070120886663e-05
2.6036070120886663e-05,2.3907092626292328e-05
2.3907092626292328e-05,3.015792975627631e-05
3.015792975627631e-05,3.361978692197935e-05
3.361978692197935e-05,3.880605190972065e-05
3.880605190972065e-05,3.548910128404419e-05
3.548910128404419e-05,2.7230589030667183e-05
2.7230589030667183e-05,4.6561703039886605e-05
4.6561703039886605e-05,2.857700403599326e-05
2.857700403599326e-05,2.427662581775773e-05
2.427662581775773e-05,2.7404438254955076e-05
2.7404438254955076e-05,3.45152345261974e-05
3.45152345261974e-05,3.158652258886821e-05
3.158652258886821e-05,2.95190197784455e-05
2.95190197784455e-05,3.232474762297797e-05
3.232474762297797e-05,3.237775636843399e-05
3.237775636843399e-05,2.7105824636326505e-05
2.7105824636326505e-05,2.6050351660759787e-05
2.6050351660759787e-05,2.6679057708240025e-05
2.6679057708240025e-05,1.887724938184522e-05
1.887724938184522e-05,2.321549781174134e-05
2.321549781174134e-05,2.2902756523701284e-05
2.2902756523701284e-05,2.5180409750876617e-05
2.5180409750876617e-05,3.425719531545596e-05
3.425719531545596e-05,3.187370251597292e-05
3.187370251597292e-05,2.864811880030946e-05
2.864811880030946e-05,4.420958783532486e-05
4.420958783532486e-05,3.0078691381900335e-05
3.0078691381900335e-05,3.3218241800828505e-05
3.3218241800828505e-05,3.6969712224255726e-05
3.6969712224255726e-05,3.004132052656601e-05
3.004132052656601e-05,4.196679504578545e-05
4.196679504578545e-05,3.548014439798382e-05
3.548014439798382e-05,2.178190767466809e-05
2.178190767466809e-05,2.9515829717209355e-05
2.9515829717209355e-05,4.106283642051598e-05
4.106283642051598e-05,2.439906241858937e-05
2.439906241858937e-05,2.763737335587102e-05
2.763737335587102e-05,3.4757644381647094e-05
3.4757644381647094e-05,2.8460782879957343e-05
2.8460782879957343e-05,2.3459597045984992e-05
2.3459597045984992e-05,3.938858871011829e-05
3.938858871011829e-05,2.914480183687896e-05
2.914480183687896e-05,4.028892922431421e-05
4.028892922431421e-05,2.661474829045462e-05
2.661474829045462e-05,3.081034265691619e-05
3.081034265691619e-05,2.350133147317408e-05
2.350133147317408e-05,2.942474315316241e-05
2.942474315316241e-05,2.622349352507093e-05
2.622349352507093e-05,2.628151754165907e-05
2.628151754165907e-05,2.453296457156448e-05
2.453296457156448e-05,2.9279618955198752e-05
2.9279618955198752e-05,2.4905235205830645e-05
2.4905235205830645e-05,2.156687238532663e-05
2.156687238532663e-05,2.7933611621220225e-05
2.7933611621220225e-05,3.6503772147465066e-05
3.6503772147465066e-05,3.244832552616308e-05
3.244832552616308e-05,2.298369397940884e-05
2.298369397940884e-05,3.226418601652534e-05
3.226418601652534e-05,4.206950374331476e-05
4.206950374331476e-05,4.340008870159458e-05
4.340008870159458e-05,4.006318025361859e-05
4.006318025361859e-05,3.397278322537252e-05
3.397278322537252e-05,2.629217070609959e-05
2.629217070609959e-05,2.539103936438636e-05
2.539103936438636e-05,3.1752811515789724e-05
3.1752811515789724e-05,3.833083377985437e-05
3.833083377985437e-05,3.4263399919981456e-05
3.4263399919981456e-05,3.182122892245921e-05
3.182122892245921e-05,2.4337566505352497e-05
2.4337566505352497e-05,2.7616334169463495e-05
2.7616334169463495e-05,3.5922293068324504e-05
3.5922293068324504e-05,3.386068966565723e-05
3.386068966565723e-05,3.2255413642956166e-05
3.2255413642956166e-05,3.855091882167685e-05
3.855091882167685e-05,3.732215072748634e-05
3.732215072748634e-05,3.2867216506071645e-05
3.2867216506071645e-05,2.2222717370465306e-05
2.2222717370465306e-05,4.4639340189319766e-05
4.4639340189319766e-05,4.076203058086307e-05
4.076203058086307e-05,3.665117854931547e-05
3.665117854931547e-05,4.018793391926272e-05
4.018793391926272e-05,3.5738693719805825e-05
3.5738693719805825e-05,3.525541577678494e-05
3.525541577678494e-05,3.919889442496807e-05
3.919889442496807e-05,3.9426556699236776e-05
3.9426556699236776e-05,4.390975494100965e-05
4.390975494100965e-05,3.7573658909937166e-05
3.7573658909937166e-05,4.5496749895722713e-05
4.5496749895722713e-05,3.812224971727255e-05
3.812224971727255e-05,3.532553156287013e-05
3.532553156287013e-05,3.046921843757776e-05
3.046921843757776e-05,3.0652834162056104e-05
3.0652834162056104e-05,3.773651304072701e-05
3.773651304072701e-05,3.464137587018611e-05
3.464137587018611e-05,4.2045708625181335e-05
4.2045708625181335e-05,3.638365275740443e-05
3.638365275740443e-05,4.64872800180882e-05
4.64872800180882e-05,3.010105630589048e-05
3.010105630589048e-05,3.888950784967885e-05
3.888950784967885e-05,3.59802882999296e-05
3.59802882999296e-05,3.307106875018036e-05
3.307106875018036e-05,4.3427291626706375e-05
4.3427291626706375e-05,4.1964737877780395e-05
4.1964737877780395e-05,4.050218412885442e-05
4.050218412885442e-05,3.540427316428942e-05
3.540427316428942e-05,2.8133854062990655e-05
2.8133854062990655e-05,2.1543771031783244e-05
2.1543771031783244e-05,2.0587232290936863e-05
2.0587232290936863e-05,3.3750656724145605e-05
3.3750656724145605e-05,3.582460213496519e-05
3.582460213496519e-05,2.7120957264785483e-05
2.7120957264785483e-05,3.27204170087333e-05
3.27204170087333e-05,3.831987675268113e-05
3.831987675268113e-05,2.9762162701988334e-05
2.9762162701988334e-05,2.1204448651295544e-05
2.1204448651295544e-05,4.596246600115029e-05
4.596246600115029e-05,3.744713217201934e-05
3.744713217201934e-05,2.548652595838316e-05
2.548652595838316e-05,2.793673788151604e-05
2.793673788151604e-05,1.812173104553949e-05
1.812173104553949e-05,2.3008121285872012e-05
2.3008121285872012e-05,2.508491364578196e-05
2.508491364578196e-05,2.0595391809389476e-05
2.0595391809389476e-05,3.361082884151509e-05
3.361082884151509e-05,2.8872608592747586e-05
2.8872608592747586e-05,3.026593644664091e-05
3.026593644664091e-05,2.6842074460592675e-05
2.6842074460592675e-05,2.3434382703780927e-05
2.3434382703780927e-05,2.002669094696918e-05
2.002669094696918e-05,2.5604341093729417e-05
2.5604341093729417e-05,3.711423381337483e-05
3.711423381337483e-05,2.8584827517382413e-05
2.8584827517382413e-05,2.789828194695672e-05
2.789828194695672e-05,2.8922410255969986e-05
2.8922410255969986e-05,2.2945942314743977e-05
2.2945942314743977e-05,2.215030868722502e-05
2.215030868722502e-05,1.998859765978433e-05
1.998859765978433e-05,2.038985900099489e-05
2.038985900099489e-05,2.2274634035643192e-05
2.2274634035643192e-05,2.665219819846243e-05
2.665219819846243e-05,2.337555859725414e-05
2.337555859725414e-05,2.4473077156715696e-05
2.4473077156715696e-05,3.695430283793636e-05
3.695430283793636e-05,2.841492289883684e-05
2.841492289883684e-05,3.635209159256192e-05
3.635209159256192e-05,2.378094611224438e-05
2.378094611224438e-05,3.219082446016991e-05
3.219082446016991e-05,2.88300063308772e-05
2.88300063308772e-05,2.3783323413795188e-05
2.3783323413795188e-05,3.4434082133585424e-05
3.4434082133585424e-05,4.508484085337566e-05
4.508484085337566e-05,3.531187975615138e-05
3.531187975615138e-05,2.5538918658927092e-05
2.5538918658927092e-05,2.832381623437225e-05
2.832381623437225e-05,3.0027763412777207e-05
3.0027763412777207e-05,3.173171059118217e-05
